program name, pre/postcopy, migration time
stress-ng,precopy,63
stress-ng,precopy,168
stress-ng,precopy,33
stress-ng,precopy,34
stress-ng,precopy,68
stress-ng,precopy,40
stress-ng,precopy,42
stress-ng,precopy,42
stress-ng,precopy,43
stress-ng,precopy,50
stress-ng,precopy,42
stress-ng,precopy,45
stress-ng,precopy,44
stress-ng,precopy,146
stress-ng,precopy,44
stress-ng,precopy,44
stress-ng,precopy,48
stress-ng,precopy,56
stress-ng,precopy,65
stress-ng,precopy,153
npb,precopy,11
npb,precopy,10
npb,precopy,9
npb,precopy,9
npb,precopy,10
npb,precopy,10
npb,precopy,9
npb,precopy,9
npb,precopy,9
npb,precopy,9
npb,precopy,10
npb,precopy,9
npb,precopy,9
npb,precopy,10
npb,precopy,9
npb,precopy,10
npb,precopy,9
npb,precopy,9
npb,precopy,10
npb,precopy,9
n-queens,precopy,10
n-queens,precopy,9
n-queens,precopy,9
n-queens,precopy,9
n-queens,precopy,10
n-queens,precopy,9
n-queens,precopy,11
n-queens,precopy,9
n-queens,precopy,9
n-queens,precopy,10
n-queens,precopy,9
n-queens,precopy,9
n-queens,precopy,10
n-queens,precopy,11
n-queens,precopy,9
n-queens,precopy,9
n-queens,precopy,10
n-queens,precopy,9
n-queens,precopy,9
n-queens,precopy,9
stress-ng,postcopy,16
stress-ng,postcopy,26
stress-ng,postcopy,15
stress-ng,postcopy,16
stress-ng,postcopy,15
stress-ng,postcopy,15
stress-ng,postcopy,14
stress-ng,postcopy,15
stress-ng,postcopy,15
stress-ng,postcopy,15
stress-ng,postcopy,15
stress-ng,postcopy,15
stress-ng,postcopy,15
stress-ng,postcopy,15
stress-ng,postcopy,14
stress-ng,postcopy,14
stress-ng,postcopy,14
stress-ng,postcopy,15
stress-ng,postcopy,15
stress-ng,postcopy,15
npb,postcopy,9
npb,postcopy,9
npb,postcopy,9
npb,postcopy,9
npb,postcopy,10
npb,postcopy,10
npb,postcopy,9
npb,postcopy,9
npb,postcopy,9
npb,postcopy,11
npb,postcopy,9
npb,postcopy,10
npb,postcopy,9
npb,postcopy,9
npb,postcopy,9
npb,postcopy,11
npb,postcopy,9
npb,postcopy,9
npb,postcopy,9
npb,postcopy,9
n-queens,postcopy,9
n-queens,postcopy,9
n-queens,postcopy,10
n-queens,postcopy,10
n-queens,postcopy,9
n-queens,postcopy,9
n-queens,postcopy,9
n-queens,postcopy,9
n-queens,postcopy,10
n-queens,postcopy,9
n-queens,postcopy,9
n-queens,postcopy,9
n-queens,postcopy,10
n-queens,postcopy,10
n-queens,postcopy,9
n-queens,postcopy,9
n-queens,postcopy,9
n-queens,postcopy,10
n-queens,postcopy,9
n-queens,postcopy,9
